"hh_id","part_id","part_gender","part_occupation","part_occupation_detail","part_education","part_education_length","participant_school_year","participant_nationality","child_care","child_care_detail","child_relationship","child_nationality","problems","diary_how","diary_missed_unsp","diary_missed_skin","diary_missed_noskin","sday_id","type","day","month","year","dayofweek","hh_age_1","hh_age_2","hh_age_3","hh_age_4","hh_age_5","hh_age_6","hh_age_7","hh_age_8","hh_age_9","hh_age_10","hh_age_11","hh_age_12","hh_age_13","hh_age_14","hh_age_15","hh_age_16","hh_age_17","hh_age_18","hh_age_19","hh_age_20","class_size","country","hh_size","part_age_exact"
"Mo08HH4445",4445,"M",5,NA,NA,NA,11,"PL","",NA,NA,"","N",2,4,NA,NA,20060327,2,27,3,2006,1,43,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,"Poland",3,17
"Mo08HH4446",4446,"F",5,NA,NA,NA,6,"PL","",NA,NA,"","N",2,4,NA,NA,20060327,2,27,3,2006,1,3,25,29,21,26,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,"Poland",7,12
"Mo08HH4447",4447,"M",5,NA,NA,NA,10,"PL","",NA,NA,"","N",2,1,NA,NA,20060327,2,27,3,2006,1,14,40,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,"Poland",4,16
"Mo08HH4448",4448,"M",5,NA,NA,NA,6,"PL","",NA,NA,"","N",1,2,NA,NA,20060328,2,28,3,2006,2,12,16,48,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,"Poland",5,12
"Mo08HH4449",4449,"F",5,NA,NA,NA,11,"PL","",NA,NA,"","N",2,2,NA,NA,20060401,2,1,4,2006,6,11,20,21,50,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,"Poland",6,17
"Mo08HH445",445,"F",3,NA,3,13,NA,"IT","",NA,NA,"","N",2,1,NA,NA,20060528,1,28,5,2006,0,18,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Italy",3,50
"Mo08HH4450",4450,"F",5,NA,NA,NA,4,"PL","",NA,NA,"","N",1,1,NA,NA,20060401,2,1,4,2006,6,6,32,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,"Poland",4,10
"Mo08HH4451",4451,"M",5,NA,NA,NA,8,"PL","",NA,NA,"","N",2,1,NA,NA,20060401,2,1,4,2006,6,39,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,"Poland",3,14
"Mo08HH4452",4452,"F",5,NA,NA,NA,6,"PL","",NA,NA,"","N",2,1,NA,NA,20060331,2,31,3,2006,5,15,39,39,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,"Poland",5,12
"Mo08HH4453",4453,"F",5,NA,NA,NA,3,"PL","",NA,NA,"","N",2,1,NA,NA,20060328,2,28,3,2006,2,50,51,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,"Poland",4,9
"Mo08HH4454",4454,"M",5,NA,NA,NA,7,"PL","",NA,NA,"","N",2,2,NA,NA,20060329,2,29,3,2006,3,4,16,34,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,"Poland",5,13
